1 myip	00-30-67-25-C1-15
2 192.168.0.2	00-30-67-25-B9-58
3 192.168.0.3	00-30-67-25-C1-90
4 192.168.0.4	00-30-67-25-C2-3B
5 192.168.0.5	00-30-67-4C-4F-E0
6 192.168.0.6	00-30-67-1F-24-AB
7 192.168.0.7	00-30-67-25-C1-2B
8 192.168.0.8	00-30-67-25-C1-61
9 192.168.0.9	00-30-67-25-C2-4A
10	myip0	00-30-67-25-C1-2D
11	myip1	00-30-67-25-C2-0A
12	myip2	00-30-67-25-C3-7A
13	myip3	00-30-67-2C-78-9A
14	myip4	00-00-00-00-00-00
15	myip5	00-30-67-2C-8D-D7
16	myip6	00-00-00-00-00-00
17	myip7	00-30-67-2C-78-A7
18	myip8	00-30-67-2C-7F-C2
19	myip9	00-30-67-21-F0-47
20	192.168.0.20	00-00-00-00-00-00
21	192.168.0.21	00-00-00-00-00-00
22	192.168.0.22	00-00-00-00-00-00
23	192.168.0.23	00-30-67-25-C1-E2
24	192.168.0.24	00-30-67-25-C1-9E
25	192.168.0.25	00-30-67-25-B8-38
26	192.168.0.26	00-30-67-25-B9-3A
27	192.168.0.27	00-30-67-25-B9-51
28	192.168.0.28	00-30-67-25-B9-F6
29	192.168.0.29	00-30-67-25-B6-95
30	192.168.0.30	00-30-67-25-C1-DC
31	192.168.0.31	00-30-67-25-B6-93
32	192.168.0.32	00-30-67-2C-78-AB
33	192.168.0.33	00-30-67-25-C1-E5
34	192.168.0.34	00-30-67-25-C2-00
35	192.168.0.35	00-30-67-25-BA-E4
36	192.168.0.36	00-30-67-25-B9-02
37	192.168.0.37	00-30-67-2C-78-B4
38	192.168.0.38	00-30-67-25-BB-9C
39	192.168.0.39	00-30-67-25-C2-56
40	192.168.0.40	00-30-67-2C-70-9D
41	192.168.0.41	00-30-67-2C-78-B7
42	192.168.0.42	00-30-67-25-BB-A8
43	192.168.0.43	00-30-67-25-C1-64
44	192.168.0.44	00-30-67-25-C2-96
45	192.168.0.45	00-30-67-25-C1-22
46	192.168.0.46	00-30-67-2C-79-22
47	192.168.0.47	00-30-67-25-C1-F9
48	192.168.0.48	00-30-67-25-C2-04
49	192.168.0.49	00-30-67-25-C2-5C
50	192.168.0.50	00-30-67-25-C1-65
51	192.168.0.51	00-30-67-25-B9-57
52	192.168.0.52	00-30-67-25-C1-87
53	192.168.0.53	00-30-67-2C-78-B2
54	192.168.0.54	00-30-67-2C-6F-22
55	192.168.0.55	00-30-67-2C-78-AD
56	192.168.0.56	00-30-67-2C-78-88
57	192.168.0.57	00-30-67-25-B9-40
58	192.168.0.58	00-30-67-25-C2-4B
59	192.168.0.59	00-30-67-2C-72-E2
60	192.168.0.60	00-30-67-25-BA-E5
61	192.168.0.61	00-30-67-25-B8-ED
62	192.168.0.62	00-30-67-25-B9-54
63	192.168.0.63	00-30-67-25-C2-32
64	192.168.0.64	00-30-67-25-BB-1A
65	192.168.0.65	00-30-67-2C-6F-23
66	192.168.0.66	00-30-67-25-B8-F1
67	192.168.0.67	00-30-67-2C-6F-11
68	192.168.0.68	00-30-67-25-C1-49
69	192.168.0.69	00-30-67-2C-78-AF
70	192.168.0.70	00-30-67-25-C2-43
71	192.168.0.71	00-30-67-2C-70-97
72	192.168.0.72	00-30-67-25-C0-F1
73	192.168.0.73	00-30-67-06-DB-B6
74 
